Name,Pin_Code__c,City__c,State__c,Primary_Source__c,Source_Version__c,Confidence__c,Total_Population__c,Population_Density__c,Male_Population__c,Female_Population__c,Avg_Household_Income__c,Income_Bracket__c,Literacy_Rate__c,Working_Population_Pct__c,Age_18_35_Pct__c,Urban_Rural__c,Data_Source__c,Year__c
Chembur - 400037,400037,Mumbai,Maharashtra,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,120331,20038,67914,52417,52000,Upper-Middle,88.98,42.67,30.2,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (3.9% of district),2012
Sion - 400022,400022,Mumbai,Maharashtra,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,74050,20038,41793,32257,52000,Upper-Middle,88.98,42.67,30.2,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (2.4% of district),2012
Pune Cantonment - 411001,411001,Pune,Maharashtra,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,197966,603,104687,93279,42000,Middle,87.19,47.3,28.9,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (2.1% of district),2012
Baner - 411045,411045,Pune,Maharashtra,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,169685,603,89732,79953,42000,Middle,87.19,47.3,28.9,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (1.8% of district),2012
Kothrud - 411007,411007,Pune,Maharashtra,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,320517,603,169494,151023,42000,Middle,87.19,47.3,28.9,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (3.4% of district),2012
Hadapsar - 411038,411038,Pune,Maharashtra,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,395932,603,209375,186558,42000,Middle,87.19,47.3,28.9,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (4.2% of district),2012
Bangalore City - 560001,560001,Bangalore,Karnataka,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,115459,4381,60272,55187,55000,Upper-Middle,88.48,44.1,33.1,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (1.2% of district),2012
Indiranagar - 560038,560038,Bangalore,Karnataka,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,259782,4381,135612,124170,55000,Upper-Middle,88.48,44.1,33.1,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (2.7% of district),2012
Hyderabad City - 500001,500001,Hyderabad,Telangana,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,149846,18172,77401,72445,38000,Middle,83.25,42.8,31.7,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (3.8% of district),2012
Kondapur - 500081,500081,Hyderabad,Telangana,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,86753,18172,44811,41942,38000,Middle,83.25,42.8,31.7,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (2.2% of district),2012
Connaught Place - 110001,110001,Delhi,Delhi,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,88276,11320,47060,41217,58000,Upper-Middle,86.34,37.5,32.4,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (0.8% of district),2012
Lajpat Nagar - 110024,110024,Delhi,Delhi,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,209657,11320,111767,97890,58000,Upper-Middle,86.34,37.5,32.4,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (1.9% of district),2012
Chennai City - 600001,600001,Chennai,Tamil Nadu,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,162636,26702,82005,80631,40000,Middle,90.33,40.1,30.8,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (3.5% of district),2012
Velachery - 600093,600093,Chennai,Tamil Nadu,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,120815,26702,60918,59897,40000,Middle,90.33,40.1,30.8,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (2.6% of district),2012
Ahmedabad Old City - 380001,380001,Ahmedabad,Gujarat,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,180205,891,94130,86075,42000,Middle,85.31,44.2,30.5,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (2.5% of district),2012
Satellite - 380015,380015,Ahmedabad,Gujarat,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,230662,891,120487,110176,42000,Middle,85.31,44.2,30.5,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (3.2% of district),2012
Gandhinagar Sector - 382010,382010,Gandhinagar,Gujarat,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,166497,2138,87403,79094,45000,Middle,88.74,43.5,29.8,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (12.0% of district),2012
Surat City Centre - 395001,395001,Surat,Gujarat,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,334473,1384,181730,152743,48000,Upper-Middle,85.53,50.8,33.0,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (5.5% of district),2012
Adajan - 395007,395007,Surat,Gujarat,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,255416,1384,138776,116640,48000,Upper-Middle,85.53,50.8,33.0,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (4.2% of district),2012
Sayajigunj - 390001,390001,Vadodara,Gujarat,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,241606,552,123996,117610,40000,Middle,84.76,45.3,30.2,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (5.8% of district),2012
MP Nagar Bhopal - 462001,462001,Bhopal,Madhya Pradesh,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,177830,855,93080,84750,35000,Middle,82.25,38.7,31.0,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (7.5% of district),2012
Arera Colony - 462016,462016,Bhopal,Madhya Pradesh,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,75874,855,39714,36160,35000,Middle,82.25,38.7,31.0,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (3.2% of district),2012
Indore Old Palasia - 452001,452001,Indore,Madhya Pradesh,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,212702,839,110739,101963,38000,Middle,82.37,42.5,31.5,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (6.5% of district),2012
Vijay Nagar - 452010,452010,Indore,Madhya Pradesh,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,157072,839,81776,75296,38000,Middle,82.37,42.5,31.5,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (4.8% of district),2012
Gwalior City - 474001,474001,Gwalior,Madhya Pradesh,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,192902,445,102488,90413,28000,Low,76.18,38.2,30.0,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (9.5% of district),2012
Jabalpur City - 482001,482001,Jabalpur,Madhya Pradesh,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,209380,242,107852,101527,28000,Low,79.88,40.1,30.5,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (8.5% of district),2012
Hazratganj - 226001,226001,Lucknow,Uttar Pradesh,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,128515,1815,67718,60797,32000,Middle,77.29,33.6,31.0,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (2.8% of district),2012
Gomti Nagar - 226010,226010,Lucknow,Uttar Pradesh,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,192773,1815,101578,91195,32000,Middle,77.29,33.6,31.0,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (4.2% of district),2012
Kanpur Civil Lines - 208001,208001,Kanpur,Uttar Pradesh,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,160053,1449,84737,75316,30000,Middle,79.65,37.6,30.5,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (3.5% of district),2012
Agra City - 282001,282001,Agra,Uttar Pradesh,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,229777,1097,121917,107861,28000,Low,70.76,37.5,30.0,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (5.2% of district),2012
Varanasi Godowlia - 221001,221001,Varanasi,Uttar Pradesh,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,213257,2330,111175,102082,25000,Low,75.6,34.2,30.0,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (5.8% of district),2012
Noida Sector 18 - 201301,201301,Noida,Uttar Pradesh,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,123609,1299,67603,56005,65000,Upper-Middle,80.12,46.3,35.0,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (7.5% of district),2012
Noida Sector 62 - 201304,201304,Noida,Uttar Pradesh,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,90646,1299,49576,41070,65000,Upper-Middle,80.12,46.3,35.0,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (5.5% of district),2012
Jaipur Pink City - 302001,302001,Jaipur,Rajasthan,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,231916,595,121555,110361,35000,Middle,75.51,37.8,30.0,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (3.5% of district),2012
Malviya Nagar - 302020,302020,Jaipur,Rajasthan,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,185533,595,97244,88289,35000,Middle,75.51,37.8,30.0,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (2.8% of district),2012
Jodhpur City - 342001,342001,Jodhpur,Rajasthan,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,302348,161,159479,142868,28000,Low,65.94,44.0,29.5,Semi-Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (8.2% of district),2012
Udaipur City - 313001,313001,Udaipur,Rajasthan,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,291417,228,150642,140775,28000,Low,62.98,49.5,28.5,Semi-Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (9.5% of district),2012
Kota City - 324001,324001,Kota,Rajasthan,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,243811,374,128180,115631,32000,Middle,77.48,42.5,30.0,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (12.5% of district),2012
Shivajinagar - 411005,411005,Pune,Maharashtra,Census of India 2012 (Primary Census Abstract),Census 2012 baseline | Ward scale 2023,Medium,178200,18500,96300,81900,58000,Upper-Middle,91.20,44.10,31.5,Urban,Census of India 2012 (Primary Census Abstract) | Pop scaled to neighbourhood (5.2% of district),2012
