Name,Address__c,City__c,State__c,Pin_Code__c,Region__c,Area_Type__c,Latitude__c,Longitude__c,Setup_Cost__c,Payback_Period_Months__c,Status__c,Recommended__c,Population_Density__c,Avg_Household_Income__c,Est_Monthly_Revenue__c,Accessibility_Score__c,Competition_Level__c,Notes__c,Foot_Traffic_Index__c,Distance_Nearest_Store_km__c,Demand_Score__c
"Kudasan - 382421","Urjanagar 1, Kudasan","Gandhinagar","Gujarat","382421","West","Tier 1",23.1852521,72.6412123,11000000,24,"Identified",false,2138,45000,9500000,79,"Low","Nascent organized retail pocket with high upside.",72,5.2,79.0
"Adajan - 395009","L P Savani Road, Adajan","Surat","Gujarat","395009","West","Tier 1",21.1927521,72.7887123,15000000,22,"Identified",true,1384,48000,16000000,88,"Medium","Core Surat residential hub with elite diamond traders.",86,2.3,88.0
"Vesu - 395007","VIP Road, Near Reliance Market, Vesu","Surat","Gujarat","395007","West","Tier 1",21.1412521,72.7787123,17000000,25,"Identified",false,1384,48000,15000000,85,"High","High-growth zone with premium apartments.",82,0.9,85.0
"Alkapuri - 390007","R C Dutt Road, Alkapuri","Vadodara","Gujarat","390007","West","Tier 1",22.3125123,73.1667123,14000000,22,"Identified",true,552,40000,14000000,85,"Medium","Vadodara elite high-street hub with stable demand.",81,3.5,85.0
"Gotri Road - 390021","Near Ganga Business Hub, Gotri","Vadodara","Gujarat","390021","West","Tier 1",22.3252521,73.1412123,12000000,24,"Identified",false,552,40000,12000000,80,"Low","Growing residential extension for corporate professionals.",74,4.1,80.0
"Arera Colony - 462016","Link Road No 3, Arera Colony","Bhopal","Madhya Pradesh","462016","Central","Tier 2",23.2152521,77.4337123,11000000,24,"Identified",true,855,35000,12000000,80,"Medium","Administrative elite catchment area with steady volume.",78,5.5,80.0
"Ayodhya Nagar - 462041","K Sector, Ayodhya Nagar","Bhopal","Madhya Pradesh","462041","Central","Tier 2",23.2567521,77.4687123,9000000,20,"Identified",false,855,35000,10000000,76,"Low","Middle-class dense pocket with low competition.",72,6.8,76.0
"Vijay Nagar - 452010","Scheme 54, Near Malhar Mall, Vijay Nagar","Indore","Madhya Pradesh","452010","Central","Tier 1",22.7533312,75.8937012,16000000,20,"Identified",true,839,38000,18000000,88,"Medium","Indore primary commercial node with massive potential.",86,1.4,88.0
"Rajendra Nagar - 452012","Near Cat Circle, Rajendra Nagar","Indore","Madhya Pradesh","452012","Central","Tier 1",22.6852521,75.8337123,13000000,24,"Identified",false,839,38000,13000000,82,"Low","Developing industrial/residential cluster.",75,7.2,82.0
"City Centre - 474002","Bhaskar Lane, Tulsi Vihar, City Centre","Gwalior","Madhya Pradesh","474002","Central","Tier 2",26.2132456,78.2012345,9000000,18,"Identified",true,445,28000,9000000,78,"Low","First Grade A retail opportunity in Central Gwalior.",74,4.5,75.0
"DD Nagar - 474020","Airport Road, Maharajpur, DD Nagar","Gwalior","Madhya Pradesh","474020","Central","Tier 2",26.2625890,78.2166980,8500000,20,"Identified",false,445,28000,8000000,70,"Low","Strategic site for capturing suburban volume growth.",68,6.1,70.0
"Civil Lines - 482001","South Civil Lines, Near Jio Store","Jabalpur","Madhya Pradesh","482001","Central","Tier 2",23.1678123,79.9487123,8000000,18,"Identified",true,242,28000,8500000,72,"Low","Defense and government elite residential area.",70,4.2,72.0
"Vijay Nagar - 482002","Ahinsa Chowk, Vijay Nagar","Jabalpur","Madhya Pradesh","482002","Central","Tier 2",23.1895123,79.9123123,7500000,22,"Identified",false,242,28000,7500000,69,"Low","Expanding new residential corridor.",65,5.4,69.0
"Gomti Nagar - 226010","Sector 11, Vrindavan Yojana, Gomti Nagar","Lucknow","Uttar Pradesh","226010","North","Tier 1",26.8467123,81.0023123,18000000,24,"Identified",true,1815,32000,15000000,86,"Medium","Premier Lucknow zone with aggressive modern trade uptake.",82,3.1,86.0
"Hazratganj - 226001","Sahara Mall, Sapru Marg, Hazratganj","Lucknow","Uttar Pradesh","226001","North","Tier 1",26.8512521,80.9412123,22000000,28,"Identified",false,1815,32000,18000000,84,"High","High-visibility site with massive transit footfall.",88,1.2,84.0
"Mall Road - 208001","Allen Ganj, Mall Road","Kanpur","Uttar Pradesh","208001","North","Tier 1",26.4678123,80.3487123,16000000,22,"Identified",true,1449,30000,14000000,83,"Medium","Industrial hub core with high population density.",80,2.5,83.0
"Kakadeo - 208025","M Block, Navin Nagar, Kakadeo","Kanpur","Uttar Pradesh","208025","North","Tier 1",26.4852521,80.3023123,12000000,24,"Identified",false,1449,30000,12000000,81,"Medium","Student hub with high frequency low ticket demand.",78,4.1,81.0
"Sanjay Place - 282002","Civil Lines, Sanjay Place","Agra","Uttar Pradesh","282002","North","Tier 2",27.1987123,78.0087123,11000000,24,"Identified",true,1097,28000,9500000,74,"Low","Central business district of Agra with rising aspirations.",71,3.8,74.0
"Sadar Bazaar - 282001","Hasting Road, Sadar Bazaar","Agra","Uttar Pradesh","282001","North","Tier 2",27.1612521,78.0123123,13000000,26,"Identified",false,1097,28000,11000000,72,"Medium","Elite local residential pocket near tourism core.",75,5.1,72.0
"Sigra - 221002","IP Grand Mall, Gulab Bagh Sigra","Varanasi","Uttar Pradesh","221002","North","Tier 2",25.3123456,82.9876543,11000000,22,"Identified",true,2330,25000,11000000,78,"Medium","Strategic hub for the massive religious tourist base.",75,2.1,78.0
"Orderly Bazar - 221002","Raj Complex, Orderly Bazar","Varanasi","Uttar Pradesh","221002","North","Tier 2",25.3352521,82.9987123,9000000,24,"Identified",false,2330,25000,9000000,75,"Low","Developing suburban node for local affluent families.",68,4.5,75.0
"Sector 18 - 201301","Near DLF Mall of India, Noida","Noida","Uttar Pradesh","201301","North","Tier 1",28.5677123,77.3214567,25000000,28,"Identified",true,1299,65000,26000000,92,"High","Elite Noida catchment with the highest per-HH spend.",89,0.8,92.0
"Sector 62 - 201309","iThums Tower, Sector 62","Noida","Uttar Pradesh","201309","North","Tier 1",28.6252521,77.3787123,18000000,24,"Identified",false,1299,65000,18000000,86,"Medium","Corporate hub with high weekday lunch/staple volume.",81,3.4,86.0
"Mansarovar - 302020","Sector 14, Durgapura, Mansarovar","Jaipur","Rajasthan","302020","North","Tier 1",26.8512521,75.7687123,16000000,20,"Identified",true,595,35000,15000000,84,"Medium","Largest residential colony in Asia prime hypermarket spot.",82,2.8,84.0
"Malviya Nagar - 302017","Kalyan Colony, Malviya Nagar","Jaipur","Rajasthan","302017","North","Tier 1",26.8412521,75.8087123,15000000,22,"Identified",false,595,35000,14000000,81,"High","Elite South Jaipur residential zone.",79,1.5,81.0
"Sardarpura - 342003","Near B N Store, C Road, Sardarpura","Jodhpur","Rajasthan","342003","North","Tier 2",26.2845678,73.0123456,10000000,20,"Identified",true,161,28000,9000000,76,"Low","Jodhpur elite market zone with high brand recall.",72,4.8,76.0
"Ratanada - 342001","Panch Batti Circle, Ratanada","Jodhpur","Rajasthan","342001","North","Tier 2",26.2652521,73.0387123,9000000,22,"Identified",false,161,28000,8000000,73,"Low","Defense and professional population pocket.",69,5.5,73.0
"Sukhadia Circle - 313001","Town Hall Road, Sukhadia Circle","Udaipur","Rajasthan","313001","North","Tier 2",24.5911501,73.7002301,9500000,24,"Identified",true,228,28000,8500000,74,"Low","Central retail hub catering to locals and tourists.",71,3.2,74.0
"Madhuban - 313001","Forum Celebration Mall, Bhuwana","Udaipur","Rajasthan","313004","North","Tier 2",24.6152521,73.7123123,11000000,26,"Identified",false,228,28000,7000000,71,"Medium","Premier mall-based opportunity in North Udaipur.",78,1.2,71.0
"Talwandi - 324005","RIICO Indraprastha Industrial Area, Talwandi","Kota","Rajasthan","324005","North","Tier 2",25.1325123,75.8487123,11000000,20,"Identified",true,374,32000,10000000,79,"Low","High demand area driven by student hostel clusters.",84,3.1,79.0
"Kunadi - 324008","Platina Mall, Near Petrol Pump, Kunadi","Kota","Rajasthan","324008","North","Tier 2",25.1952521,75.8287123,9500000,22,"Identified",false,374,32000,8500000,75,"Medium","Rapidly developing education hub node.",74,4.5,75.0
"Vrindavan Yojana - 226010","Sector 11, Vrindavan Yojana, Raebareli Road","Lucknow","Uttar Pradesh","226010","North","Tier 1",26.7865241,80.9542312,18000000,24,"Identified",true,1815,32000,15000000,82,"Medium","Rapidly growing residential area with modern infrastructure.",,,
