Name,City__c,State__c,Region__c,TAM__c,Analysis_Date__c,Top_Sites__c,Blind_Spots__c,Primary_Source__c,Source_Version__c,Confidence__c,Growth_Rate__c,Competitor_Count__c
"Bhopal Market Analysis",Bhopal,Madhya Pradesh,Central,220000000000,2026-04-01,"Arera Colony, Ayodhya Nagar, and Kolar Road. Administrative and educational center.","Low adoption of premium D2C brands. High dominance of neighborhood kiranas.","Knight Frank Think India Retail",2024 edition,Medium,7.2,28
"Indore Market Analysis",Indore,Madhya Pradesh,Central,350000000000,2026-04-01,"Vijay Nagar, Rajendra Nagar, and Nipania. Commercial hub with high aspirational demand.","Increasing rental rates in prime junctions. Intense price wars among existing hypermarkets.","Arrow Point MP Market Report",2026 edition,High,7.9,45
"Gwalior Market Analysis",Gwalior,Madhya Pradesh,Central,150000000000,2026-04-01,"City Centre, DD Nagar, and Morar. Latent demand for modern organized grocery.","Low income levels in outskirts. Dominance of traditional wholesale markets.","Scribd Hypermarket Report",2021 edition,Low,6.8,14
"Jabalpur Market Analysis",Jabalpur,Madhya Pradesh,Central,140000000000,2026-04-01,"Civil Lines, Vijay Nagar, and Napier Town. Government and defense population base.","Logistics challenges for fresh produce. Lack of organized retail warehousing.","Arrow Point MP Market Report",2026 edition,Low,6.5,12
"Lucknow Market Analysis",Lucknow,Uttar Pradesh,North,420000000000,2026-04-01,"Gomti Nagar, Hazratganj, and Alambagh are elite. Strong growth in mall culture.","Traffic congestion in old city areas. Rapid but uneven urbanization.","JLL India Retail Q1 2024",2024 edition,Medium,8.7,40
"Kanpur Market Analysis",Kanpur,Uttar Pradesh,North,380000000000,2026-04-01,"Mall Road, Kakadeo, and Swarup Nagar. Industrial base with huge population density.","Severe infrastructure decay. Competition from unorganized wholesale markets.","Knight Frank Think India Retail",2024 edition,Medium,7.4,32
"Agra Market Analysis",Agra,Uttar Pradesh,North,180000000000,2026-04-01,"Sanjay Place, Sadar Bazaar, and Fatehabad Road. Tourism-driven local demand.","Seasonal demand volatility. Heritage-zone construction regulations.","Magicbricks Agra Rental Report",2026 edition,Low,6.9,22
"Varanasi Market Analysis",Varanasi,Uttar Pradesh,North,160000000000,2026-04-01,"Sigra, Orderly Bazar, and Lanka. Pilgrimage-driven floating population.","Narrow road infrastructure. High cost of land in central transit hubs.","99acres Varanasi Commercial",2024 edition,Medium,7.1,19
"Noida Market Analysis",Noida,Uttar Pradesh,North,480000000000,2026-04-01,"Sector 18, Sector 62, and Sector 137. High-income residential hub.","Dependency on weekend footfall. Strong competition from Delhi-based malls.","IBEF Retail Report 2024",2024 edition,High,8.9,52
"Jaipur Market Analysis",Jaipur,Rajasthan,North,420000000000,2026-04-01,"Mansarovar, Malviya Nagar, and Vaishali Nagar. Education sector drives demand.","Water scarcity issues affecting large-scale cooling operations.","Randstad India Talent Report",2024 edition,Medium,7.5,38
"Jodhpur Market Analysis",Jodhpur,Rajasthan,North,150000000000,2026-04-01,"Sardarpura, Ratanada, and Shastri Nagar. Rising modern aspirations.","Slow corporate investment pace. Strong preference for local dairy brands.","Knight Frank Think India Retail",2024 edition,Low,6.7,15
"Udaipur Market Analysis",Udaipur,Rajasthan,North,140000000000,2026-04-01,"Sukhadia Circle, Madhuban, and Sector 11. Luxury and tourism retail hub.","Geography limits large-format development. Price-sensitive local consumer base.","Scribd Hypermarket Report",2021 edition,Low,7.0,13
"Kota Market Analysis",Kota,Rajasthan,North,130000000000,2026-04-01,"Talwandi, Kunadi, and Vigyan Nagar. Captive student population.","Cyclical demand based on coaching seasons. Low potential for luxury segment.","99acres Rajasthan Report",2024 edition,Medium,7.2,16
