Name,Market_Analysis__r.Name,Site_Name__c,Rank__c,Demand_Score__c,Revenue_Potential__c
"Kanpur Top Site 2","Kanpur Market Analysis","Kakadeo - 208025",2,81,12000000
"Kanpur Top Site 3","Kanpur Market Analysis","Swarup Nagar - 208002",3,79,11000000
"Agra Top Site 1","Agra Market Analysis","Sanjay Place - 282002",1,74,9500000
"Agra Top Site 2","Agra Market Analysis","Sadar Bazaar - 282001",2,72,11000000
"Agra Top Site 3","Agra Market Analysis","Fatehabad Road - 282001",3,70,12000000
"Varanasi Top Site 1","Varanasi Market Analysis","Sigra - 221002",1,78,11000000
"Varanasi Top Site 2","Varanasi Market Analysis","Orderly Bazar - 221002",2,75,9000000
"Varanasi Top Site 3","Varanasi Market Analysis","Lanka - 221005",3,73,8500000
"Noida Top Site 1","Noida Market Analysis","Sector 18 - 201301",1,92,26000000
"Noida Top Site 2","Noida Market Analysis","Sector 62 - 201309",2,86,18000000
"Noida Top Site 3","Noida Market Analysis","Sector 137 - 201305",3,84,15000000
"Jaipur Top Site 1","Jaipur Market Analysis","Mansarovar - 302020",1,84,15000000
"Jaipur Top Site 2","Jaipur Market Analysis","Malviya Nagar - 302017",2,81,14000000
"Jaipur Top Site 3","Jaipur Market Analysis","Vaishali Nagar - 302021",3,80,13000000
"Jodhpur Top Site 1","Jodhpur Market Analysis","Sardarpura - 342003",1,76,9000000
"Jodhpur Top Site 2","Jodhpur Market Analysis","Ratanada - 342001",2,73,8000000
"Jodhpur Top Site 3","Jodhpur Market Analysis","Shastri Nagar - 342003",3,71,7500000
"Udaipur Top Site 1","Udaipur Market Analysis","Sukhadia Circle - 313001",1,74,8500000
"Udaipur Top Site 2","Udaipur Market Analysis","Madhuban - 313001",2,71,7000000
"Udaipur Top Site 3","Udaipur Market Analysis","Sector 11 - 313002",3,69,6500000
"Kota Top Site 1","Kota Market Analysis","Talwandi - 324005",1,79,10000000
"Kota Top Site 2","Kota Market Analysis","Kunadi - 324008",2,75,8500000
"Kota Top Site 3","Kota Market Analysis","Vigyan Nagar - 324005",3,73,8000000
